Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
314.71961,-0.302028,13.58294118,0.110235294,12.64176471,0.130411765,0.030608503,17,split_295.0_335.0/19_2.csv,0.6-4.0,177,176453,0.745963152,4.13,Cl_VDBH,0.10708241
314.7517065,-0.993375,13.59342857,0.111142857,12.66692857,0.160714286,0.060947737,14,split_295.0_335.0/19_2.csv,0.6-4.0,49,176453,0.308518343,1.92,,0.092913622
308.2508755,-0.981346,14.0171875,0.12378125,13.12834375,0.12634375,0.077655533,32,split_295.0_335.0/13_2.csv,0.6-4.0,92,183564,0.542636347,0.24,bub,0.187628994
308.009277,-0.3865625,12.8125,0.126857143,11.96371429,0.150714286,0.021160932,14,split_295.0_335.0/13_2.csv,0.6-4.0,226,183564,0.871213406,8.57,,0.158330724
308.1937325,-0.2827665,13.67911111,0.124333333,12.89688889,0.151888889,0.036265201,18,split_295.0_335.0/13_2.csv,0.6-4.0,163,183564,0.653602524,3.1,[BRN2015]_La_Serena_94_OpC,0.167998404
302.447657,-0.236444,13.50812,0.12492,12.593,0.15272,0.074534154,25,split_295.0_335.0/7_2.csv,0.6-4.0,70,147184,0.493264029,6.64,,0.221496802
333.188032,-0.0484835,13.04525,0.1016,12.0002,0.1083,0.019440525,20,split_295.0_335.0/38_3.csv,0.6-4.0,681,225033,1.22355633,2.5,,0.129614823
333.633057,0.053178,13.08066667,0.109,12.14206667,0.117066667,0.018223979,15,split_295.0_335.0/38_3.csv,0.6-4.0,521,225033,0.978926346,5.13,,0.173882457
333.4867585,0.1590665,13.37707143,0.114571429,12.51335714,0.130892857,0.033193709,28,split_295.0_335.0/38_3.csv,0.6-4.0,406,225033,1.003238548,5.48,,0.191992586
333.712377,0.357298,13.5883,0.1243,12.6562,0.1393,0.017085914,20,split_295.0_335.0/38_3.csv,0.6-4.0,340,225033,1.39217474,5.33,,0.083115013
326.4784305,0.704354,13.63941667,0.109875,12.62408333,0.133416667,0.015885163,24,split_295.0_335.0/31_3.csv,0.6-4.0,358,199300,1.909373949,8.6,G3CC_26,0.198698523
326.636541,0.5790335,11.66964286,0.1225,10.75828571,0.113357143,0.012386752,14,split_295.0_335.0/31_3.csv,0.6-4.0,547,199300,1.428374271,4.92,[VRS2018]_IRAS_15408-5356_Cluster,0.19060747
326.67743,0.564897,12.51628205,0.110871795,11.60174359,0.118692308,0.029168287,39,split_295.0_335.0/31_3.csv,0.6-4.0,567,199300,1.68976026,5.41,,0.108526656
326.6098435,0.7971515,13.29230556,0.095527778,12.29494444,0.113611111,0.019159219,36,split_295.0_335.0/31_3.csv,0.6-4.0,380,199300,2.374630861,5.21,VVV_CL055,0.234593931
326.796192,0.383542,12.75036364,0.105727273,11.65645455,0.119909091,0.015910049,33,split_295.0_335.0/31_3.csv,0.6-4.0,339,199300,2.621282544,5.59,G3CC_27,0.15388373
326.480934,0.854225,13.63796154,0.126153846,12.84276923,0.143038462,0.037457352,26,split_295.0_335.0/31_3.csv,0.6-4.0,225,199300,0.877218309,6.71,,0.151904069
321.9396595,-0.0030975,12.9045,0.105269231,11.7715,0.113576923,0.014847531,26,split_295.0_335.0/27_3.csv,0.6-4.0,251,215982,2.125863601,6.25,G3CC_24,0.146077533
322.1541315,-0.0647915,12.64033333,0.13175,11.77583333,0.12925,0.027506232,12,split_295.0_335.0/27_3.csv,0.6-4.0,164,215982,0.529622511,4.95,,0.117457541
