'Glon','Glat','comments',col1,Glon,Glat,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,Separation
0.8612,-0.4477,,2337,0.8612479999999999,-0.44770150000000003,12.999944444444445,0.1195,12.302055555555556,0.1147777777777778,0.015453200000323524,18,split_0.0_15.0/0_4.csv,0.6-4.0,1196,487724,0.9410053224588759,3.89,0.17287977485858544
0.9315,-0.3544,,2271,0.931493,-0.354397,12.88546153846154,0.07,12.106115384615386,0.09619230769230767,0.010225692983852015,26,split_0.0_15.0/0_4.csv,0.6-4.0,2099,487724,2.0540858875966355,5.69,0.027429001242046964
0.2287,3.782,,453,0.2286755,3.7820025,13.909333333333333,0.12522222222222226,12.999999999999998,0.15583333333333335,0.061913979362499184,18,split_0.0_15.0/0_8.csv,0.6-4.0,59,215797,0.3530905945973061,4.01,0.08844346478165253
0.2729,0.043,,2259,0.2729085,0.0430195,12.239785714285713,0.07999999999999999,11.38942857142857,0.08414285714285714,0.004822337866636873,14,split_0.0_15.0/0_4.csv,0.6-4.0,2859,487724,2.3453539885133456,9.19,0.07657454798432403
0.3287,-0.1282,,2079,0.32872250000000003,-0.1282375,12.331499999999998,0.10163888888888888,11.513638888888883,0.1035,0.01128048166081573,36,split_0.0_15.0/0_4.csv,0.6-4.0,3233,487724,2.5781777563342785,5.72,0.15745237776298057
0.7439,0.0207,,2137,0.7439335,0.0207045,12.421045454545453,0.07295454545454545,11.637590909090907,0.09463636363636364,0.0065800445667184215,22,split_0.0_15.0/0_4.csv,0.6-4.0,6014,487724,2.701045162987376,5.69,0.12168307886972513
0.9135,-0.3885,,2335,0.9135015,-0.3884625,13.406300000000002,0.09855,12.694100000000002,0.1248,0.0176737587541531,20,split_0.0_15.0/0_4.csv,0.6-4.0,1810,487724,0.9141954874457192,5.33,0.13512596191841694
0.9803,-0.0336,,2221,0.9802834999999999,-0.0336335,13.021695652173912,0.07943478260869563,12.186934782608693,0.10195652173913043,0.012944803455441077,46,split_0.0_15.0/0_4.csv,0.6-4.0,3886,487724,2.870783034767304,2.93,0.13443868155294172
1.0068,-0.107,,1586,1.0068469999999998,-0.1069695,13.316299999999998,0.07635,12.480949999999998,0.10870000000000002,0.005906309867421339,20,split_0.0_15.0/1_4.csv,0.6-4.0,4021,451607,2.8428798080655167,4.74,0.20170570831155624
1.1116,0.0507,,1614,1.111617,0.050661000000000005,13.256130434782607,0.06834782608695651,12.45226086956522,0.08421739130434784,0.010608566538416036,23,split_0.0_15.0/1_4.csv,0.6-4.0,4465,451607,1.8201863891494137,5.94,0.15316341312602436
1.1466,-0.2496,,1622,1.146564,-0.2495915,13.25945,0.08325,12.38795,0.1105,0.00837090229604933,20,split_0.0_15.0/1_4.csv,0.6-4.0,3069,451607,2.0058684796971966,4.95,0.13315671236675533
