Glon_1,glat_1,comments,col1,Glon_2,Glat_2,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,Separation
350.3951,0.9129,,946,350.395138,0.912925,13.418478260869565,0.10300000000000001,12.49108695652174,0.1088695652173913,0.030076518299137142,23,split_350.0_360.0/0_5.csv,0.6-4.0,375,319385,0.7634279951600613,4.05,4.550220239183469E-5
350.4056,-0.8893,,345,350.405578,-0.889336,13.381105263157895,0.1066842105263158,12.510473684210528,0.14489473684210524,0.02215629177005393,19,split_350.0_360.0/0_3.csv,0.6-4.0,306,341627,0.8277620190221547,6.35,4.219964891317836E-5
350.4212,1.1135,,960,350.42124900000005,1.1134760000000001,13.374733333333333,0.12246666666666667,12.550333333333333,0.145,0.05104835649657049,30,split_350.0_360.0/0_5.csv,0.6-4.0,280,319385,0.5866881225957591,3.32,5.456147202123525E-5
350.483,-0.9405,,346,350.483001,-0.940458,13.528370370370373,0.10348148148148148,12.618074074074075,0.12107407407407407,0.01752064753368845,27,split_350.0_360.0/0_3.csv,0.6-4.0,292,341627,1.487519204225848,5.05,4.2032877968630055E-5
350.5053,-0.3946,,1376,350.505264,-0.394578,13.63717391304348,0.11308695652173913,12.633608695652175,0.11043478260869566,0.017754633705031712,23,split_350.0_360.0/0_4.csv,0.6-4.0,430,373558,1.195809948147898,5.48,4.219211009351386E-5
350.5215,1.0012,,943,350.521504,1.001214,13.745666666666665,0.10099999999999999,12.888757575757575,0.12084848484848484,0.025864880359290358,33,split_350.0_360.0/0_5.csv,0.6-4.0,475,319385,1.2737120922423255,4.6,1.459800337116891E-5
350.5263,-0.2568,,1370,350.526301,-0.256842,13.70704109589041,0.1085068493150685,12.938890410958905,0.13216438356164384,0.05848263291781412,73,split_350.0_360.0/0_4.csv,0.6-4.0,446,373558,1.1522374497225711,3.25,4.2016002712964394E-5
350.5363,-0.7481,,349,350.536331,-0.7481439999999999,13.436482758620686,0.08341379310344829,12.606551724137928,0.10627586206896553,0.023196478051603117,29,split_350.0_360.0/0_3.csv,0.6-4.0,257,341627,1.2067711456611283,3.58,5.383789847867119E-5
350.5911,-0.2443,,1371,350.591096,-0.24428900000000006,13.434142857142856,0.114,12.668499999999998,0.12357142857142855,0.026856156705703568,14,split_350.0_360.0/0_4.csv,0.6-4.0,507,373558,0.4812050941063762,5.27,1.1698045450385233E-5
350.725,-0.3205,,1374,350.724988,-0.320558,13.895,0.11253333333333332,12.987666666666666,0.13833333333333336,0.011967318538417294,15,split_350.0_360.0/0_4.csv,0.6-4.0,500,373558,1.157018893946529,6.5,5.9241679660248604E-5
350.7586,0.8844,,932,350.758621,0.884397,13.916703703703707,0.09725925925925924,13.118074074074073,0.12337037037037038,0.016124683469740792,27,split_350.0_360.0/0_5.csv,0.6-4.0,645,319385,1.6716308287041408,0.67,2.1214635420812772E-5
350.8066,-0.8506,,363,350.806625,-0.850558,13.429034482758622,0.10924137931034483,12.605620689655172,0.1202413793103448,0.037328999999999724,29,split_350.0_360.0/0_3.csv,0.6-4.0,192,341627,0.7498952662443816,5.29,4.8881003419716545E-5
350.8873,-0.8738,,364,350.887305,-0.873842,14.120153846153846,0.14192307692307693,13.311846153846155,0.17907692307692308,0.03955071818563141,13,split_350.0_360.0/0_3.csv,0.6-4.0,195,341627,0.317276530866514,6.55,4.2316742870386454E-5
350.0907,-0.9598,,338,350.0906735,-0.9598209999999999,13.362777777777774,0.10744444444444444,12.572611111111113,0.11544444444444445,0.022025040732058392,18,split_350.0_360.0/0_3.csv,0.6-4.0,385,341627,0.7888687545504822,3.46,3.380890037546671E-5
350.9738,-0.3648,,1389,350.973803,-0.3648165,13.190500000000002,0.09584615384615383,12.189461538461535,0.11296153846153845,0.024565946190839717,26,split_350.0_360.0/0_4.csv,0.6-4.0,254,373558,0.9769804979428548,1.98,1.676445788605063E-5
350.9738,-0.5691,,368,350.96926,-0.5755555000000001,14.05822727272727,0.14427272727272727,13.306818181818182,0.14645454545454542,0.036730220394774686,22,split_350.0_360.0/0_3.csv,0.6-4.0,85,341627,0.5781600996831648,2.65,0.007892071472595753
350.1735,0.0039,,1397,350.1734815,0.003889,13.3425,0.0993125,12.4195,0.1163125,0.017476322274708345,16,split_350.0_360.0/0_4.csv,0.6-4.0,435,373558,0.8451153320811337,7.67,2.1523189188055352E-5
350.7158,1.0239,,938,350.7158015,1.0238554999999998,12.678714285714287,0.09592857142857143,11.769071428571428,0.13192857142857142,0.008033151591980833,14,split_350.0_360.0/0_5.csv,0.6-4.0,624,319385,1.7398422743678414,5.72,4.455729900324649E-5
350.7175,0.0286,,1387,350.7174815,0.028647,13.762708333333334,0.11204166666666666,12.972729166666667,0.13089583333333332,0.03360042823015805,48,split_350.0_360.0/0_4.csv,0.6-4.0,354,373558,1.3186892561229941,6.64,5.051004420579035E-5
350.8111,0.5017,,967,350.8110885,0.5016959999999999,13.436708333333335,0.12166666666666667,12.685125,0.11670833333333334,0.02235263025355414,24,split_350.0_360.0/0_5.csv,0.6-4.0,269,319385,1.071890478922404,4.48,1.2170572846030909E-5
350.929,0.7557,G3CC_45,953,350.9290295,0.7557045,12.834583333333335,0.07791666666666669,11.747055555555557,0.08377777777777777,0.014006395200058284,36,split_350.0_360.0/0_5.csv,0.6-4.0,460,319385,2.5659248370584886,4.8,2.9842426922624256E-5
350.9437,-0.2919,,1390,350.9436725,-0.2919195,13.979357142857143,0.14214285714285713,13.176071428571428,0.14335714285714288,0.03453085777243301,14,split_350.0_360.0/0_4.csv,0.6-4.0,283,373558,0.3742542250201713,0.8,3.3706858671173355E-5
350.1153,0.096,G3CC_44,1399,350.11531549999995,0.0959875,13.287499999999998,0.11571428571428573,11.979642857142858,0.11278571428571428,0.011990051980707126,14,split_350.0_360.0/0_4.csv,0.6-4.0,443,373558,1.0778368130261855,7.35,1.9912831569336717E-5
350.209,1.3149,,976,350.20897599999995,1.314853,13.76229411764706,0.09423529411764707,12.553823529411767,0.10205882352941176,0.01633664485134975,17,split_350.0_360.0/0_5.csv,0.6-4.0,181,319385,1.0388524286361396,11.0,5.280928466179989E-5
350.2121,0.313,,1416,350.2120700000001,0.313025,14.028846153846152,0.12446153846153846,13.290153846153846,0.15746153846153849,0.0348740496357935,13,split_350.0_360.0/0_4.csv,0.6-4.0,223,373558,0.34410185499837603,3.21,3.905536969452422E-5
