Glon,Glat,comments,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity
10.3204,-0.2689,,13.46472414,0.124034483,12.39096552,0.137482759,0.027440044,29,split_0.0_15.0/10_4.csv,0.6-4.0,1038,344049,1.016548525,6.05
311.9801,-0.9533,,13.10033333,0.099125,12.02683333,0.13075,0.059840668,24,split_295.0_335.0/17_2.csv,0.6-4.0,89,179586,0.533953737,4.95
35.578,0.0157,,13.62086364,0.114590909,12.54809091,0.125045455,0.034360976,22,split_35.0_66.0/0_1.csv,0.6-4.0,372,211079,0.786248334,3.47
306.2846,-0.1822,,13.46041667,0.104875,12.38829167,0.1295,0.070761261,24,split_295.0_335.0/11_2.csv,0.6-4.0,132,191152,0.437674574,1.12
359.6094,-0.2198,,13.00038889,0.091777778,11.93127778,0.109388889,0.005116813,18,split_350.0_360.0/9_4.csv,0.6-4.0,2747,484882,2.850230819,5.37
351.4113,0.6478,NAME_NGC_6334-I,12.15957143,0.101857143,11.09164286,0.1045,0.013109586,14,split_350.0_360.0/1_5.csv,0.6-4.0,734,205041,1.330588472,5
329.1829,-0.3167,G3CC_31,13.16096552,0.095,12.09565517,0.111448276,0.017041899,29,split_295.0_335.0/34_2.csv,0.6-4.0,408,275829,1.828037563,7.91
329.282,1.3701,,13.60505882,0.106411765,12.54,0.111352941,0.052642428,17,split_295.0_335.0/34_4.csv,0.6-4.0,68,187914,0.420299142,5.88
14.988,-0.6465,,13.10838095,0.103047619,12.04652381,0.111238095,0.018235481,21,split_0.0_15.0/14_3.csv,0.6-4.0,149,130653,1.797493962,2.4
8.9396,-0.6105,,13.42742105,0.108578947,12.36563158,0.119368421,0.020921188,19,split_0.0_15.0/8_3.csv,0.6-4.0,251,240064,1.045752219,6.64
37.5544,0.198,,13.18164286,0.106785714,12.12092857,0.136928571,0.020746619,14,split_35.0_66.0/2_1.csv,0.6-4.0,530,194438,0.86340626,4.92
332.1948,0.1315,,12.958,0.115642857,11.89935714,0.120714286,0.012835092,14,split_295.0_335.0/37_3.csv,0.6-4.0,584,224142,1.299847775,1.9
298.8187,0.1363,[BRN2015]_La_Serena_27,13.16893333,0.116066667,12.11546667,0.1132,0.038132701,15,split_295.0_335.0/3_3.csv,0.6-4.0,52,117212,0.648235355,5.13
299.1871,-0.3897,,14.07842857,0.111142857,13.02514286,0.113,0.022423045,14,split_295.0_335.0/4_2.csv,0.6-4.0,125,130411,0.975441869,7.35
350.0546,-1.2486,,13.25967742,0.089741935,12.20748387,0.126741935,0.024222678,31,split_350.0_360.0/0_3.csv,0.6-4.0,197,341627,1.235345705,7.52
329.4633,0.1573,,13.02373333,0.115533333,11.9732,0.121133333,0.012147597,15,split_295.0_335.0/34_3.csv,0.6-4.0,457,225485,1.467124944,3.32
353.4272,-0.0854,smm*,13.64304167,0.109916667,12.59383333,0.119666667,0.015275431,24,split_350.0_360.0/3_4.csv,0.6-4.0,776,389718,1.41993222,7
59.6362,-0.1919,,12.43377778,0.101333333,11.38461111,0.101833333,0.026818194,18,split_35.0_66.0/24_0.csv,0.6-4.0,74,106305,1.16142506,24
351.7986,-0.4824,,14.01955,0.094925,12.972575,0.113275,0.019073537,40,split_350.0_360.0/1_4.csv,0.6-4.0,462,361176,1.968767259,9.41
296.586,-0.4509,,13.3565,0.0928,12.31135,0.1224,0.05263435,20,split_295.0_335.0/1_2.csv,0.6-4.0,48,121963,0.613863404,5.77
333.188,-0.0485,,13.04525,0.1016,12.0002,0.1083,0.019440525,20,split_295.0_335.0/38_3.csv,0.6-4.0,681,225033,1.22355633,2.5
39.9067,-0.8952,,12.98891667,0.071458333,11.9445,0.118416667,0.034705579,24,split_35.0_66.0/4_0.csv,0.6-4.0,84,169504,0.947647978,6.45
19.9799,-0.2164,,13.19130769,0.11,12.14815385,0.124076923,0.021905626,13,split_15.0_35.0/4_2.csv,0.6-4.0,150,300860,0.610422489,9.39
352.3163,-0.9869,,13.23752941,0.078529412,12.19541176,0.110588235,0.010772944,17,split_350.0_360.0/2_3.csv,0.6-4.0,435,189559,2.044877792,5.72
354.6887,0.508,[BDB2003]_G354.67+00.48,13.17816667,0.0995,12.13788889,0.117444444,0.01270614,18,split_350.0_360.0/4_5.csv,0.6-4.0,484,271942,1.532659877,3.92
26.4914,0.7121,,13.36332258,0.108258065,12.32632258,0.123032258,0.017475482,31,split_15.0_35.0/11_3.csv,0.6-4.0,219,270789,1.923278076,7.48
14.9507,0.0298,,12.23441667,0.097916667,11.199,0.116083333,0.010073487,12,split_0.0_15.0/14_4.csv,0.6-4.0,435,290412,1.247151488,4.16
53.1387,0.0632,'G3CC_69',12.9708,0.102775,11.935825,0.118775,0.052749019,40,split_35.0_66.0/18_1.csv,0.6-4.0,268,143439,1.129632151,3.85
59.5836,0.9113,,13.30723529,0.103764706,12.27276471,0.115647059,0.045140237,17,split_35.0_66.0/24_2.csv,0.6-4.0,35,33469,1.161418607,7.07
2.5246,0.2032,,12.94454545,0.078363636,11.911,0.088409091,0.008238193,22,split_0.0_15.0/2_4.csv,0.6-4.0,774,418617,2.328666933,6.01
52.3435,0.323,,14.17283333,0.115083333,13.14008333,0.140791667,0.083423364,24,split_35.0_66.0/17_1.csv,0.6-4.0,77,145629,0.425328684,7.25
295.1533,-0.5892,,13.0513913,0.123869565,12.01917391,0.127434783,0.033847846,23,split_295.0_335.0/0_2.csv,0.6-4.0,120,107367,1.170001599,8.22
18.2542,0.6632,,13.61488889,0.118962963,12.58422222,0.149740741,0.065837658,27,split_15.0_35.0/3_3.csv,0.6-4.0,116,293352,0.427188871,4.87
294.9749,-0.6939,,13.61,0.11775,12.5808125,0.138,0.080344805,16,split_295.0_335.0/0_2.csv,0.6-4.0,54,107367,0.342887645,2.25
23.3886,0.1761,,13.64346667,0.1298,12.61486667,0.142466667,0.030286892,15,split_15.0_35.0/8_3.csv,0.6-4.0,553,255814,0.552458252,2.35
