,Glon,Glat,GLIMPSE,S,C,Jmag,e_Jmag,Kmag,e_Kmag,3_6mag,e_3_6mag,4_5mag,e_4_5mag,5_8mag,e_5_8mag,8_0mag,e_8_0mag
980,284.289864,0.744431,G284.2898+00.7444,1,A,15.649,0.087,14.987,0.158,14.758,0.161,,,,,,
981,284.289336,0.746719,G284.2893+00.7467,1,C,13.861,0.033,13.423,0.043,13.374,0.062,,,12.887,0.343,,
982,284.2853,0.750333,G284.2853+00.7503,1,C,14.574,0.032,14.056,0.065,14.169,0.084,,,,,,
983,284.288178,0.751375,G284.2881+00.7513,1,A,16.53,0.159,15.412,0.207,15.072,0.161,,,,,,
984,284.286439,0.754797,G284.2864+00.7548,1,A,15.662,0.081,14.901,0.13,14.302,0.1,,,,,,
985,284.284925,0.753394,G284.2849+00.7533,1,A,,,,,15.167,0.197,,,,,,
986,284.282583,0.734475,G284.2825+00.7344,1,A,15.867,0.124,15.221,0.192,14.707,0.161,,,,,,
987,284.281094,0.739469,G284.2810+00.7394,1,A,16.034,0.102,14.926,0.155,14.608,0.119,,,,,,
988,284.284219,0.739919,G284.2842+00.7399,1,A,,,14.906,0.147,14.304,0.106,,,,,,
989,284.283069,0.740678,G284.2830+00.7406,1,A,,,,,15.286,0.201,,,,,,
990,284.283725,0.742133,G284.2837+00.7421,1,A,,,,,14.617,0.132,,,13.256,0.308,,
991,284.279663,0.742533,G284.2796+00.7425,1,C,15.095,0.05,13.124,0.042,12.649,0.053,,,12.598,0.167,,
992,284.271084,0.740594,G284.2710+00.7405,1,C,14.862,0.046,13.985,0.06,13.799,0.094,,,,,,
993,284.269515,0.740369,G284.2695+00.7403,1,C,15.453,0.074,14.715,0.114,14.093,0.118,,,,,,
994,284.27426,0.742122,G284.2742+00.7421,1,A,16.064,0.101,15.197,0.174,14.966,0.139,,,,,,
995,284.273229,0.747061,G284.2732+00.7470,1,A,15.753,0.079,15.105,0.163,14.83,0.114,,,,,,
996,284.269095,0.744172,G284.2690+00.7441,1,A,16.63,0.184,14.996,0.149,14.297,0.106,,,,,,
997,284.277582,0.746994,G284.2775+00.7469,1,A,14.946,0.052,14.454,0.102,14.347,0.088,,,,,,
998,284.278049,0.748208,G284.2780+00.7482,1,C,15.92,0.083,14.013,0.077,13.51,0.061,,,,,,
999,284.27556,0.749317,G284.2755+00.7493,1,A,,,,,15.17,0.171,,,,,,
1000,284.280749,0.754536,G284.2807+00.7545,1,A,15.068,0.043,14.509,0.099,14.524,0.119,,,,,,
1001,284.276393,0.754042,G284.2763+00.7540,1,A,,,,,15.365,0.193,,,,,,
1002,284.273424,0.758164,G284.2734+00.7581,1,A,15.377,0.061,14.684,0.113,14.587,0.113,,,,,,
1003,284.271376,0.748975,G284.2713+00.7489,1,C,15.142,0.05,13.063,0.043,12.597,0.051,,,12.296,0.127,,
1004,284.272746,0.750981,G284.2727+00.7509,1,A,,,,,15.515,0.178,,,,,,
1005,284.271126,0.750983,G284.2711+00.7509,1,C,14.893,0.05,13.0,0.041,12.587,0.06,,,12.328,0.187,,
1006,284.268398,0.750633,G284.2684+00.7506,1,A,,,15.048,0.169,14.522,0.104,,,,,,
1007,284.268004,0.752514,G284.2680+00.7525,1,A,,,,,15.03,0.152,,,12.797,0.274,,
1008,284.269745,0.757147,G284.2697+00.7571,1,C,13.144,0.026,13.002,0.034,12.978,0.064,,,,,,
1009,284.268901,0.759439,G284.2689+00.7594,1,A,15.912,0.095,15.289,0.181,15.069,0.134,,,,,,
1010,284.267098,0.758764,G284.2671+00.7587,1,C,16.426,0.139,14.255,0.084,13.779,0.078,,,12.788,0.355,,
1011,284.264845,0.759136,G284.2648+00.7591,1,C,13.873,0.032,13.441,0.055,13.405,0.069,,,,,,
1012,284.297312,0.756,G284.2973+00.7560,1,A,,,,,15.17,0.18,,,,,,
1013,284.295942,0.760725,G284.2959+00.7607,1,A,16.081,0.107,15.299,0.193,15.139,0.15,,,,,,
1014,284.293395,0.763039,G284.2933+00.7630,1,C,14.428,0.037,13.004,0.033,12.61,0.06,,,12.495,0.244,,
1015,284.294231,0.765019,G284.2942+00.7650,1,A,,,,,15.11,0.126,,,,,,
1016,284.284161,0.757942,G284.2841+00.7579,1,C,15.23,0.049,14.356,0.08,14.174,0.104,,,,,,
1017,284.280719,0.758953,G284.2807+00.7589,1,A,,,,,15.007,0.148,,,,,,
1018,284.281199,0.760258,G284.2812+00.7602,1,C,13.599,0.03,13.237,0.044,13.14,0.077,,,,,,
1019,284.281302,0.763144,G284.2813+00.7631,1,A,,,,,11.431,0.049,,,11.312,0.088,,
1020,284.280091,0.763111,G284.2800+00.7631,1,A,,,,,13.683,0.081,,,,,,
1021,284.283658,0.764706,G284.2836+00.7647,1,A,,,,,15.398,0.161,,,,,,
1022,284.280447,0.766547,G284.2804+00.7665,1,C,14.045,0.03,13.582,0.045,13.5,0.077,,,,,,
1023,284.291459,0.768653,G284.2914+00.7686,1,A,16.663,0.175,14.96,0.146,14.278,0.103,,,,,,
1024,284.291728,0.770519,G284.2917+00.7705,1,A,15.26,0.053,14.682,0.114,14.461,0.119,,,,,,
1025,284.289222,0.771572,G284.2892+00.7715,1,C,14.236,0.028,13.843,0.059,13.551,0.076,,,,,,
1026,284.290711,0.779653,G284.2907+00.7796,1,A,15.9,0.088,15.04,0.155,15.098,0.185,,,,,,
1027,284.287431,0.776614,G284.2874+00.7766,1,A,,,,,15.228,0.145,,,,,,
1028,284.288561,0.779756,G284.2885+00.7797,1,A,,,,,14.902,0.146,,,,,,
1029,284.285816,0.771275,G284.2858+00.7712,1,A,,,,,15.118,0.166,,,,,,
1030,284.283366,0.770269,G284.2833+00.7702,1,C,14.624,0.064,13.88,0.067,13.857,0.095,,,,,,
1031,284.284527,0.78035,G284.2845+00.7803,1,C,15.057,0.045,13.103,0.033,12.684,0.065,,,12.308,0.132,,
1032,284.282036,0.781253,G284.2820+00.7812,1,A,14.825,0.068,14.307,0.154,14.254,0.13,,,,,,
1033,284.279371,0.779742,G284.2793+00.7797,1,A,,,,,14.86,0.118,,,,,,
1034,284.277696,0.761756,G284.2777+00.7617,1,A,,,,,14.543,0.113,,,,,,
1035,284.273724,0.760483,G284.2737+00.7604,1,A,,,,,14.938,0.169,,,,,,
1036,284.272874,0.763569,G284.2728+00.7635,1,A,,,14.765,0.104,14.285,0.097,,,,,,
1037,284.272246,0.765158,G284.2722+00.7651,1,A,,,,,15.44,0.202,,,,,,
1038,284.274632,0.765636,G284.2746+00.7656,1,A,15.469,0.06,14.975,0.152,14.626,0.097,,,,,,
1039,284.268451,0.762136,G284.2684+00.7621,1,A,,,,,15.351,0.186,,,,,,
1040,284.267937,0.764608,G284.2679+00.7646,1,A,15.193,0.05,14.409,0.078,14.299,0.116,,,,,,
1041,284.275504,0.775403,G284.2755+00.7754,1,C,14.719,0.07,14.123,0.099,13.966,0.088,,,,,,
1042,284.274843,0.774864,G284.2748+00.7748,1,A,,,,,14.34,0.092,,,,,,
1043,284.27326,0.777022,G284.2732+00.7770,1,A,16.25,0.131,14.966,0.147,14.936,0.161,,,13.058,0.307,,
1044,284.276291,0.777828,G284.2762+00.7778,1,C,15.285,0.05,13.89,0.056,13.58,0.081,,,,,,
1045,284.273488,0.780333,G284.2734+00.7803,1,A,,,,,15.225,0.185,,,,,,
1046,284.269609,0.772528,G284.2696+00.7725,1,A,,,,,14.883,0.127,,,,,,
1047,284.267306,0.775442,G284.2673+00.7754,1,A,,,14.21,0.098,14.464,0.11,,,,,,
1048,284.267901,0.775478,G284.2679+00.7754,1,A,,,,,14.253,0.092,,,,,,
1049,284.260617,0.778319,G284.2606+00.7783,1,A,16.136,0.105,15.032,0.157,15.01,0.162,,,,,,
1050,284.262723,0.782222,G284.2627+00.7822,1,A,,,,,15.079,0.216,,,,,,
1051,284.260095,0.782069,G284.2600+00.7820,1,C,13.298,0.03,12.087,0.026,11.873,0.047,,,11.671,0.1,,
1052,284.267509,0.739889,G284.2675+00.7398,1,A,16.392,0.133,15.407,0.192,14.88,0.132,,,,,,
1053,284.266387,0.74215,G284.2663+00.7421,1,A,,,,,12.981,0.064,,,,,,
1054,284.264678,0.741775,G284.2646+00.7417,1,A,15.917,0.08,15.259,0.182,14.915,0.121,,,,,,
1055,284.262086,0.743108,G284.2620+00.7431,1,A,,,,,14.844,0.175,,,,,,
1056,284.260725,0.7429,G284.2607+00.7429,1,A,14.832,0.05,14.37,0.098,14.203,0.133,,,,,,
1057,284.266098,0.743161,G284.2661+00.7431,1,A,,,,,14.368,0.095,,,,,,
1058,284.263111,0.746072,G284.2631+00.7460,1,A,,,,,14.929,0.127,,,,,,
1059,284.263242,0.747517,G284.2632+00.7475,1,A,16.062,0.126,15.128,0.166,15.14,0.173,,,,,,
1060,284.260689,0.744369,G284.2606+00.7443,1,C,13.269,0.039,12.923,0.047,12.831,0.069,,,12.532,0.228,,
1061,284.258933,0.749756,G284.2589+00.7497,1,A,15.484,0.073,14.447,0.086,14.305,0.078,,,,,,
1062,284.251249,0.741628,G284.2512+00.7416,1,C,14.82,0.033,14.017,0.061,13.632,0.064,,,,,,
1063,284.257942,0.744739,G284.2579+00.7447,1,A,15.548,0.061,14.924,0.119,14.625,0.121,,,13.012,0.342,,
1064,284.257767,0.749606,G284.2577+00.7496,1,A,15.892,0.078,15.083,0.144,14.816,0.128,,,,,,
1065,284.250927,0.748047,G284.2509+00.7480,1,C,13.978,0.026,13.546,0.038,13.476,0.072,,,,,,
1066,284.264973,0.751833,G284.2649+00.7518,1,A,,,,,14.919,0.136,,,,,,
1067,284.262825,0.749869,G284.2628+00.7498,1,A,16.297,0.119,15.404,0.19,15.186,0.188,,,,,,
1068,284.258836,0.751103,G284.2588+00.7511,1,C,15.666,0.071,13.768,0.07,13.401,0.052,,,12.78,0.245,,
1069,284.260122,0.755564,G284.2601+00.7555,1,A,16.445,0.128,15.082,0.16,14.672,0.127,,,,,,
1070,284.259781,0.761786,G284.2597+00.7617,1,A,15.474,0.052,14.915,0.162,14.853,0.105,,,,,,
1071,284.258014,0.760064,G284.2580+00.7600,1,A,,,,,15.138,0.112,,,,,,
1072,284.257586,0.762519,G284.2575+00.7625,1,C,14.457,0.083,13.938,0.092,14.059,0.065,,,,,,
1073,284.258592,0.762278,G284.2585+00.7622,1,A,15.102,0.077,14.845,0.135,14.489,0.076,,,,,,
1074,284.249027,0.752872,G284.2490+00.7528,1,A,15.808,0.097,14.699,0.128,14.502,0.117,,,,,,
1075,284.254777,0.758397,G284.2547+00.7584,1,A,16.007,0.28,15.269,0.19,15.243,0.202,,,,,,
1076,284.256216,0.757075,G284.2562+00.7570,1,C,13.38,0.024,13.049,0.029,12.956,0.064,,,,,,
1077,284.254074,0.759583,G284.2540+00.7595,1,A,,,15.206,0.177,14.76,0.129,,,,,,
1078,284.253797,0.757597,G284.2538+00.7576,1,A,15.168,0.093,14.645,0.119,14.628,0.12,,,,,,
1079,284.249257,0.763894,G284.2492+00.7638,1,C,13.033,0.022,12.113,0.026,12.015,0.053,,,11.976,0.132,,
1080,284.241884,0.743814,G284.2418+00.7438,1,C,13.855,0.022,13.153,0.03,12.999,0.064,,,12.743,0.235,,
1081,284.241337,0.746139,G284.2413+00.7461,1,A,16.648,0.155,15.092,0.168,14.808,0.152,,,,,,
1082,284.238901,0.747383,G284.2389+00.7473,1,C,14.067,0.028,12.57,0.026,12.3,0.056,,,11.932,0.138,,
1083,284.237462,0.744714,G284.2374+00.7447,1,C,11.636,0.023,11.367,0.023,11.423,0.041,,,11.37,0.091,,
1084,284.23385,0.748139,G284.2338+00.7481,1,C,,,13.766,0.08,13.525,0.075,,,,,,
1085,284.238784,0.751528,G284.2387+00.7515,1,A,,,,,14.477,0.119,,,,,,
1086,284.237448,0.753461,G284.2374+00.7534,1,A,16.709,0.185,15.181,0.202,15.155,0.154,,,,,,
1087,284.236034,0.751858,G284.2360+00.7518,1,C,15.1,0.049,13.344,0.044,12.693,0.069,,,12.511,0.154,,
1088,284.245035,0.755586,G284.2450+00.7555,1,C,13.808,0.026,13.392,0.041,13.299,0.064,,,,,,
1089,284.244154,0.758503,G284.2441+00.7585,1,C,15.59,0.06,13.73,0.054,13.355,0.061,,,,,,
1090,284.242273,0.755497,G284.2422+00.7555,1,A,15.935,0.088,15.051,0.148,15.156,0.161,,,,,,
